customer_id,email,first_name,last_name,geo_id,segment,created_at,updated_at,is_deleted
C000001,wisealexandria@example.org,Dalton,Montgomery,GEO0486,Consumer,2025-06-01T23:03:53,2025-12-08T08:40:32,0
C000002,penanicole@example.com,Jerome,Rojas,GEO0521,Consumer,2024-05-06T20:07:28,2025-03-07T18:47:00,0
C000003,isims@example.net,Mary,Johnson,GEO0458,Consumer,2024-12-13T23:37:36,2025-12-13T20:42:34,0
C000004,michelle57@example.com,Theresa,Fernandez,GEO0228,Consumer,2025-09-01T11:19:18,2026-02-18T22:36:43,0
C000005,amy28@example.org,Brittany,Bryant,GEO0040,SMB,2026-01-01T16:47:15,2026-01-07T10:33:37,0
C000006,omills@example.net,Kyle,Reed,GEO0139,SMB,2025-01-04T03:09:45,2025-08-09T13:05:05,0
C000007,lindaramos@example.com,Robert,Moore,GEO0258,Consumer,2025-03-11T15:13:28,2025-04-19T11:43:33,0
C000008,smithlisa@example.org,Maurice,Harrison,GEO0026,Mid-Market,2025-08-25T16:49:25,2025-10-31T18:31:40,0
C000009,wattstravis@example.com,Kevin,Cannon,GEO0470,Mid-Market,2025-03-26T15:46:26,2025-06-17T04:32:08,0
C000010,carla08@example.com,Jacob,Khan,GEO0205,SMB,2025-12-29T04:45:32,2026-02-22T16:07:44,0
C000011,kfoster@example.net,Jillian,Price,GEO0211,SMB,2025-04-11T01:47:10,2026-01-22T11:58:07,0
C000012,fwalker@example.com,Colleen,Black,GEO0220,Consumer,2025-02-22T03:23:36,2025-07-20T01:33:09,0
C000013,justin84@example.com,Jacob,Jones,GEO0566,SMB,2025-01-15T11:19:18,2025-09-20T00:50:09,0
C000014,keithwalsh@example.net,Shawn,Graves,GEO0705,SMB,2025-08-26T01:59:57,2025-11-12T09:13:11,0
C000015,blopez@example.org,Brandon,Nichols,GEO0080,SMB,2026-01-27T00:07:35,2026-02-18T02:55:02,0
C000016,teresacampbell@example.org,Jennifer,Acosta,GEO0122,Mid-Market,2025-05-07T09:36:28,2025-10-26T12:30:53,0
C000017,christophersmith@example.org,Matthew,Collins,GEO0447,Consumer,2025-09-12T04:32:40,2026-01-07T14:42:28,0
C000018,dbolton@example.net,Lacey,Rivera,GEO0551,SMB,2026-01-15T02:51:39,2026-02-26T19:26:24,0
C000019,brianrowe@example.org,Amy,White,GEO0087,SMB,2025-02-08T17:02:42,2025-09-22T23:17:41,0
C000020,lisa01@example.net,John,Wise,GEO0764,Mid-Market,2024-06-18T00:36:40,2025-04-30T17:41:07,0
C000021,cwright@example.org,Steven,Wise,GEO0678,Consumer,2025-07-26T06:39:34,2025-12-20T01:36:33,0
C000022,thomasmaldonado@example.com,Sharon,Moore,GEO0041,SMB,2026-02-07T16:57:01,2026-02-10T21:59:34,0
C000023,garnerandrea@example.org,Jon,Little,GEO0022,SMB,2024-01-20T06:15:53,2026-01-11T18:28:05,0
C000024,michaelwilliams@example.net,Jeff,Rodriguez,GEO0057,Mid-Market,2025-06-30T10:25:37,2025-07-11T15:55:59,0
C000025,knguyen@example.com,Brenda,Foster,GEO0101,SMB,2024-12-14T05:26:01,2026-02-27T16:20:24,0
C000026,albertwilliams@example.net,Thomas,Carlson,GEO0639,Consumer,2024-04-03T03:34:10,2025-01-20T04:11:16,0
C000027,kelli32@example.com,Christopher,Montgomery,GEO0189,Consumer,2024-04-01T09:26:43,2024-09-21T01:39:20,0
C000028,browndeanna@example.net,Amanda,Rodriguez,GEO0306,Mid-Market,2024-01-28T01:19:24,2024-05-08T10:09:26,0
C000029,jhall@example.net,Katherine,Trujillo,GEO0657,SMB,2024-11-27T12:52:57,2025-01-27T01:12:15,0
C000030,bquinn@example.net,Nicholas,Ramsey,GEO0037,Mid-Market,2025-09-03T07:31:32,2026-01-10T12:07:17,0
C000031,rachel77@example.net,Kenneth,Terry,GEO0429,SMB,2024-11-21T17:26:04,2025-07-26T00:26:40,0
C000032,ashleystephens@example.com,Jessica,Hill,GEO0115,SMB,2024-01-20T17:37:43,2024-05-02T07:48:35,0
C000033,caseymoore@example.com,Lori,Weaver,GEO0042,SMB,2024-05-08T18:26:28,2024-08-01T20:32:13,0
C000034,osmith@example.net,Nicholas,Lopez,GEO0114,SMB,2024-05-25T17:10:50,2025-01-31T17:27:58,0
C000035,harveymichael@example.net,John,Le,GEO0380,Consumer,2025-04-07T00:52:29,2026-02-18T09:41:10,0
C000036,rlee@example.com,Katie,Moore,GEO0076,SMB,2024-03-02T08:38:16,2026-01-27T12:22:53,0
C000037,marcus51@example.org,Alexandra,Jones,GEO0481,Mid-Market,2024-08-05T16:18:02,2025-01-17T23:34:36,0
C000038,gregoryjohnson@example.org,Todd,Garcia,GEO0738,Consumer,2024-11-03T12:44:07,2026-01-02T04:46:35,0
C000039,hbarrett@example.net,Jacqueline,Scott,GEO0510,Consumer,2025-03-18T19:32:51,2025-08-27T21:21:40,0
C000040,jeffrey10@example.org,Diana,Hebert,GEO0475,Mid-Market,2026-02-09T14:17:15,2026-02-19T10:13:29,0
C000041,mcdonalddanielle@example.com,Angela,Hurley,GEO0619,SMB,2025-09-05T00:58:44,2025-10-09T20:59:00,0
C000042,yshort@example.net,Brian,Jensen,GEO0483,Consumer,2025-05-02T00:43:11,2025-11-29T17:57:44,0
C000043,navarromary@example.org,Shirley,Yu,GEO0340,SMB,2025-05-15T17:05:50,2025-06-23T17:01:57,0
C000044,garciajerry@example.com,Jake,Fox,GEO0613,SMB,2025-11-18T21:07:22,2026-01-05T19:22:24,0
C000045,ashleymeza@example.net,Kara,Perry,GEO0199,Mid-Market,2026-02-25T00:07:29,2026-02-27T06:28:00,0
C000046,mirandabarbara@example.net,Stephen,Ortega,GEO0613,Consumer,2026-01-30T08:43:58,2026-02-21T11:12:05,0
C000047,jacksonhenry@example.com,William,Sandoval,GEO0628,Mid-Market,2025-09-20T09:51:45,2025-11-15T07:31:23,0
C000048,umahoney@example.net,Victoria,Nguyen,GEO0054,SMB,2024-10-14T22:45:38,2025-01-29T00:12:52,0
C000049,robert65@example.net,John,Gardner,GEO0533,Consumer,2025-02-09T08:36:32,2025-10-19T05:35:12,0
C000050,vcannon@example.com,Michael,Chavez,GEO0614,Mid-Market,2026-01-26T21:43:38,2026-02-06T02:37:08,0
C000051,csmith@example.com,Caitlin,Holmes,GEO0367,Consumer,2024-03-07T08:59:36,2024-10-26T16:46:50,0
C000052,adam33@example.com,Andrew,Short,GEO0399,Mid-Market,2024-07-15T00:44:43,2026-01-11T19:16:43,0
C000053,samantha88@example.net,Sara,Moore,GEO0790,Consumer,2025-04-09T13:41:43,2025-05-05T10:27:54,0
C000054,stevenseric@example.com,Michael,Perkins,GEO0230,Consumer,2024-10-07T21:33:29,2025-06-17T11:33:48,0
C000055,jonathanevans@example.net,Ricardo,Hardin,GEO0495,Consumer,2026-01-08T01:17:58,2026-02-03T17:28:20,0
C000056,cummingslaura@example.org,Tracy,Nolan,GEO0686,Consumer,2025-02-05T10:05:56,2025-11-24T00:47:14,0
C000057,larsonkevin@example.net,Lindsey,James,GEO0635,Consumer,2025-03-09T07:12:10,2025-08-24T09:04:40,0
C000058,weeksmatthew@example.com,Robert,Parrish,GEO0789,Consumer,2024-04-09T15:27:51,2024-05-03T18:51:40,0
C000059,julieatkinson@example.org,Cynthia,Chen,GEO0346,SMB,2024-12-08T07:06:30,2025-04-09T10:53:03,0
C000060,torresblake@example.net,Annette,Murphy,GEO0414,Mid-Market,2024-12-07T07:04:49,2025-10-10T19:28:48,0
C000061,ericnunez@example.com,Tasha,Mullins,GEO0399,SMB,2025-10-02T18:07:05,2025-10-17T01:24:20,0
C000062,walkerkeith@example.com,Earl,Rogers,GEO0705,Consumer,2025-12-11T04:03:58,2026-02-05T01:19:39,0
C000063,dduncan@example.net,Raymond,Miller,GEO0138,Consumer,2025-03-18T03:43:03,2025-12-29T01:18:54,0
C000064,iayala@example.org,Timothy,Gonzalez,GEO0641,Consumer,2025-02-15T19:48:26,2025-06-14T19:50:42,0
C000065,mpearson@example.net,Christina,Fitzgerald,GEO0433,SMB,2024-01-11T12:29:50,2025-03-24T19:39:06,0
C000066,johnadams@example.com,Marcus,Glass,GEO0091,Mid-Market,2025-10-28T00:29:33,2025-12-09T18:12:06,0
C000067,rodriguezrobert@example.com,Michael,Flores,GEO0692,Mid-Market,2024-01-13T22:04:37,2024-07-29T18:08:40,0
C000068,carrillogary@example.com,Christina,Branch,GEO0476,SMB,2024-09-19T13:30:46,2025-12-18T05:15:08,0
C000069,chanson@example.org,Sandra,Hall,GEO0222,Consumer,2024-02-15T04:19:37,2025-05-06T16:41:48,0
C000070,eric11@example.net,Brian,Rush,GEO0533,Mid-Market,2024-11-14T17:49:09,2025-01-28T15:19:38,0
C000071,mistywilkins@example.org,Matthew,Brock,GEO0236,SMB,2024-10-25T00:33:37,2025-09-26T21:09:03,0
C000072,shannon05@example.org,Jody,Lewis,GEO0389,Mid-Market,2025-06-03T01:27:22,2025-09-11T06:40:58,0
C000073,ana92@example.net,Holly,Smith,GEO0502,SMB,2024-03-11T06:42:30,2026-02-20T22:29:38,0
C000074,scottbrian@example.org,Kristina,Williamson,GEO0677,Mid-Market,2024-12-05T18:21:39,2025-05-07T13:21:10,0
C000075,marshallsierra@example.org,Paul,Nelson,GEO0137,Consumer,2025-04-10T15:14:58,2025-04-11T20:14:44,0
C000076,michelle04@example.net,Paul,Whitney,GEO0611,Mid-Market,2025-04-22T06:15:30,2025-10-08T23:24:13,0
