lead_id,email,company,source,status,geo_id,created_at,updated_at
L000001,mcculloughchristopher@example.net,Leonard-Jacobson,Partner,Qualified,GEO0750,2024-01-14T05:19:14,2024-07-30T12:52:07
L000002,randylyons@example.com,Burns-Rollins,Inbound SDR,New,GEO0681,2025-02-16T13:54:47,2025-05-29T01:11:23
L000003,heidicarlson@example.com,Martin Ltd,Outbound,Working,GEO0682,2025-07-19T23:45:24,2026-02-06T17:59:58
L000004,brianwoodard@example.net,Carey-Wilkerson,Web,Nurture,GEO0518,2024-06-02T12:48:56,2025-01-02T23:33:40
L000005,oliverjoshua@example.com,"Dixon, Rowe and Braun",Inbound SDR,Nurture,GEO0265,2024-08-25T13:27:04,2024-12-13T15:18:59
L000006,ramirezbrian@example.org,Bauer-Watson,Referral,Nurture,GEO0744,2025-09-30T16:58:28,2026-01-11T14:36:33
L000007,mmcdaniel@example.org,"Johnson, Schultz and Johnson",Inbound SDR,Qualified,GEO0165,2025-08-31T13:19:18,2025-10-23T07:05:44
L000008,vflores@example.com,Cruz-Miller,Event,Nurture,GEO0533,2024-06-19T15:43:23,2025-07-13T00:35:01
L000009,ian23@example.org,Singleton-Nelson,Partner,Qualified,GEO0069,2024-01-22T07:43:30,2025-03-02T05:11:18
L000010,bensonthomas@example.com,Washington Ltd,Inbound SDR,Nurture,GEO0599,2024-05-05T02:39:34,2024-08-20T23:03:49
L000011,reedjill@example.org,"Mcgrath, Mitchell and Garcia",Web,Nurture,GEO0147,2024-05-30T15:50:34,2025-04-23T06:28:13
L000012,shermanwendy@example.net,"Davis, Hernandez and Scott",Event,Working,GEO0703,2025-12-30T00:51:57,2026-01-10T00:27:30
L000013,samantha61@example.net,Mckenzie-Stafford,Referral,Working,GEO0511,2026-01-10T21:35:50,2026-01-18T14:33:06
L000014,cynthiagarner@example.com,Richardson and Sons,Partner,Qualified,GEO0040,2024-09-17T12:49:31,2025-10-08T15:05:19
L000015,ewoods@example.com,"Burke, Kelly and Howard",Referral,Disqualified,GEO0436,2025-08-04T17:25:19,2025-12-23T17:54:50
L000016,boothjuan@example.net,Rodriguez and Sons,Inbound SDR,Disqualified,GEO0653,2025-04-29T20:32:43,2025-12-31T22:48:49
L000017,kyle94@example.org,Herman LLC,Web,Disqualified,GEO0181,2024-07-19T04:36:17,2025-08-07T11:57:31
L000018,brandonsweeney@example.com,"Sullivan, Jones and Thomas",Inbound SDR,New,GEO0786,2025-03-02T04:17:37,2025-04-19T04:57:19
L000019,orozcocarlos@example.org,Sullivan PLC,Web,Disqualified,GEO0137,2025-02-22T05:23:38,2026-01-26T12:49:34
L000020,christopher90@example.com,Obrien LLC,Outbound,Qualified,GEO0464,2024-03-30T09:00:05,2025-08-10T08:35:37
L000021,douglas52@example.org,Johnson Ltd,Inbound SDR,Disqualified,GEO0389,2024-02-28T01:07:45,2024-10-09T00:43:11
L000022,nicole12@example.net,Gomez-Clark,Inbound SDR,Qualified,GEO0210,2025-07-26T16:57:14,2025-09-14T05:41:03
L000023,william80@example.org,Frey Inc,Inbound SDR,Qualified,GEO0112,2025-03-12T02:19:27,2026-02-28T15:40:54
L000024,lisa47@example.com,"Mueller, Lamb and Anderson",Web,Working,GEO0427,2024-03-04T04:32:26,2025-11-05T02:43:15
L000025,gregory48@example.org,Garcia-Harrington,Web,Working,GEO0259,2026-02-03T08:59:31,2026-02-26T10:54:10
L000026,phillipsstephen@example.com,"White, Cunningham and Moore",Inbound SDR,Working,GEO0408,2024-12-20T16:19:55,2025-04-14T22:34:27
L000027,kathleen07@example.net,Wilson Group,Referral,Working,GEO0704,2024-07-18T05:04:30,2024-09-15T21:22:59
L000028,claudia53@example.org,Adams-Walker,Event,Qualified,GEO0564,2024-02-19T14:46:35,2024-02-27T08:30:52
L000029,daychelsea@example.com,Long Ltd,Event,Disqualified,GEO0354,2025-07-31T02:10:49,2025-11-04T08:08:35
L000030,christine07@example.org,Weber LLC,Partner,Qualified,GEO0027,2025-06-18T14:03:23,2025-10-16T04:26:49
L000031,mcdonaldjohn@example.net,Robinson-Murillo,Outbound,Qualified,GEO0361,2025-06-10T14:38:03,2025-08-05T13:33:59
L000032,chanadrian@example.net,Beck Inc,Inbound SDR,Qualified,GEO0773,2025-12-14T03:34:06,2026-01-17T14:57:24
L000033,pschwartz@example.net,"Mills, Morris and Jones",Referral,Working,GEO0363,2024-05-21T02:16:48,2025-08-28T21:05:06
L000034,hayley93@example.com,Woodward-Klein,Event,Disqualified,GEO0157,2026-01-24T04:26:50,2026-02-18T11:12:12
L000035,brandybyrd@example.net,Williams Inc,Outbound,Qualified,GEO0645,2024-01-27T14:49:14,2025-10-22T23:20:57
L000036,beasleyjimmy@example.org,Stone Ltd,Outbound,Nurture,GEO0752,2024-10-18T23:21:22,2026-02-20T13:33:42
L000037,david19@example.com,"Harris, Roach and Fox",Event,Nurture,GEO0696,2024-05-20T05:29:42,2025-09-28T03:56:35
L000038,hayesnicole@example.com,"Tucker, Roberts and Schroeder",Inbound SDR,Nurture,GEO0552,2026-02-18T10:04:27,2026-02-26T21:29:31
L000039,washingtonjessica@example.com,"Foster, Barrett and Dunn",Web,New,GEO0549,2024-02-11T17:17:34,2024-11-24T11:27:18
L000040,kimberly79@example.org,"Brown, Cochran and Mccoy",Inbound SDR,Disqualified,GEO0793,2025-10-02T01:14:23,2026-01-13T14:47:27
L000041,barbara87@example.org,"Mercado, English and Wright",Event,New,GEO0379,2024-04-28T13:18:56,2024-06-23T10:34:31
L000042,calebcompton@example.org,"Nguyen, Bridges and Price",Referral,Nurture,GEO0705,2024-08-04T05:44:11,2025-08-06T06:34:25
L000043,qrodriguez@example.net,Riley-Bryant,Web,Disqualified,GEO0133,2024-04-27T14:49:15,2024-08-29T08:57:14
L000044,nataliecarpenter@example.com,"Adams, Davis and Estrada",Web,Disqualified,GEO0553,2024-02-22T23:11:03,2025-04-07T16:04:35
L000045,stephanie95@example.net,Welch-Chen,Partner,Qualified,GEO0714,2024-08-09T03:08:16,2026-01-22T19:43:29
L000046,baileykelly@example.org,Parker Inc,Outbound,Working,GEO0496,2024-04-11T06:35:34,2025-08-25T22:09:16
L000047,jennifer31@example.net,Adkins-Bailey,Inbound SDR,New,GEO0175,2025-10-03T01:50:08,2025-12-18T07:09:16
L000048,andrew64@example.org,Lane Inc,Web,Nurture,GEO0557,2024-01-07T22:49:17,2025-08-18T02:06:15
L000049,jhunter@example.net,Lewis Group,Inbound SDR,New,GEO0054,2025-06-29T17:04:41,2025-11-18T02:14:30
L000050,davidjohnson@example.net,"Rogers, Mendez and Alvarez",Inbound SDR,Qualified,GEO0053,2025-08-08T20:54:09,2025-10-18T20:50:56
L000051,hoodnathan@example.com,"Thompson, Chapman and Malone",Event,Qualified,GEO0128,2024-03-11T05:08:42,2025-05-08T10:16:35
L000052,nhale@example.net,Nichols Ltd,Web,Nurture,GEO0313,2025-07-01T01:06:00,2026-02-11T04:04:48
